 mr elizabeth could would it said she darcy but mrs much you must bennet miss he the sister one and jane bingley lady know her though well never time soon think might good every may little nothing make say without day wickham shall dear collins family see room him man first friend great hope mother father however give lydia thought
mr 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
elizabeth 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
could 2106.859036575537 2106.859036575537 0.0 2717.483578607238 2106.859036575537 2293.4371585024955 2106.859036575537 2106.859036575537 2106.859036575537 2106.859036575537 2278.7389056230204 2106.859036575537 2283.566070863727 2106.859036575537 2106.4218475889393 2106.859036575537 2106.859036575537 2184.067306655177 2221.9205656368545 2106.859036575537 2106.859036575537 2106.859036575537 2127.39770611891 2133.9796156477223 2106.859036575537 2163.707466364157 2114.2651205560765 2136.066712441351 2150.91399177187 2182.7368141853476 2142.1262801244934 2235.124605027648 2146.2497524752334 2201.837641607573 2182.9835088703717 2150.2316154312307 2051.4643550400774 2140.6769957188776 2078.858100015487 2118.1857803318385 2119.093438241929 2106.859036575537 2164.8156965432418 2120.9669964428963 2106.859036575537 2110.418441920938 2101.8974760915435 2105.167451771949 2106.859036575537 2093.7480746259803 2128.968999304593 2099.8904733342642 2120.5980288588407 2105.052493407231 2098.404393819266 2099.936903814017 2094.5770456108794 2117.738652430937 2106.859036575537 2090.3114600460863
would 1977.6991682255418 1977.6991682255418 2717.483578607238 0.0 1977.6991682255418 2174.1087829269263 1977.6991682255418 1977.6991682255418 1977.6991682255418 1977.6991682255418 2144.271438041369 1977.6991682255418 2176.9499305220597 1977.6991682255418 1972.3179256904805 1977.6991682255418 1977.6991682255418 2041.3233452836423 2088.697680374065 1977.6991682255418 1977.6991682255418 1977.6991682255418 1991.3307108564363 1961.5917006349716 1977.6991682255418 2136.634971163769 2013.2416645797891 2004.896007278183 2024.7098557571157 2049.8051126875453 2000.8063374549772 2145.639531701446 2034.0164699431516 2046.6152545117022 2060.199504902377 2034.210657724514 1984.3656417102168 1995.6445074210988 1970.7770041280673 2042.4480409547755 1990.1753691572007 1977.6991682255418 2029.3742878040018 1982.6341064351739 1977.6991682255418 1971.719300509076 1999.0917937903703 1974.2246579353628 1977.6991682255418 1970.9840182000462 2025.2910901892596 1981.2226023342253 1995.0516284046384 1969.6413379090113 1978.9022209295738 1967.1248053949196 1977.662761949064 1919.5551568006583 1977.6991682255418 1959.3588236971807
it 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
said 1148.1040893577551 1148.1040893577551 2293.4371585024955 2174.1087829269263 1148.1040893577551 0.0 1148.1040893577551 1148.1040893577551 1148.1040893577551 1148.1040893577551 1493.8316504880997 1148.1040893577551 1475.9803521727517 1148.1040893577551 1147.7251413121523 1148.1040893577551 1148.1040893577551 1303.9984662567667 1448.3062521442073 1148.1040893577551 1148.1040893577551 1148.1040893577551 1198.7948114669166 1224.5199059223169 1148.1040893577551 1483.4857599586185 1211.7074729488136 1262.2143241145698 1268.8912482951405 1299.8099861133549 1297.3985509472407 1446.5828700769273 1263.8781586846098 1383.9187114856131 1270.9787567068145 1301.4914521425026 1197.2986260745479 1272.6774925329669 1174.0447180580475 1315.1064595689581 1206.385096061784 1148.1040893577551 1216.056330932083 1174.514793435996 1148.1040893577551 1194.1071978679302 1210.6663454478282 1152.2560479337915 1148.1040893577551 1207.3479200296822 1235.6815932917348 1185.6028002665985 1207.9975165537387 1150.7241198480199 1182.8579796408358 1163.0163369445847 1149.3341550654447 1207.6617904032569 1148.1040893577551 1205.8590299035786
she 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
darcy 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
but 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
mrs 0.0 0.0 2106.859036575537 1977.6991682255418 0.0 1148.1040893577551 0.0 0.0 0.0 0.0 1136.8931348196277 0.0 1078.5680321611615 0.0 23.664319132398465 0.0 0.0 750.4925049592434 1006.5833298838204 0.0 0.0 0.0 448.0267849135808 673.5384176125368 0.0 1030.811815997469 549.9636351614532 783.1079108271094 630.2380502635492 762.028214700742 846.8187527446472 972.7615329565617 678.1983485677328 841.5592670751122 731.3467030075408 729.4072936295606 496.42421375271374 685.4728295125927 540.4979185898869 736.6247348548649 446.2689771875253 0.0 706.8196375313861 430.7180051959751 0.0 385.2907992672548 604.6519660102 197.6486782146544 0.0 488.4321856716652 561.309183961923 440.005681781497 538.441268849259 437.90980806554217 366.7315094179937 320.8613407688748 85.79044235810886 547.0941418074224 0.0 473.4501029675672
